Artista,Nombre_Agencia_o_Manager,Correo_o_Contacto,Tipo_Contacto,URL_Fuente,Confianza,Notas,Seguidores_Aprox,Engagement_Impresion
Ryan Castro,WK Records (Walter Kolm Entertainment),Formulario de contacto,Booking/Management (sello),https://wkrecords.com/artistas/ (seccion #contacto en https://wkrecords.com/),Media,"Verificado directamente: wkrecords.com tiene una pagina de artista dedicada a RYAN CASTRO con biografia oficial, y un menu 'Contacto' que lleva a un formulario (Contact Form 7) en la portada. No se expuso un correo directo en el HTML (el formulario probablemente enruta internamente). Existe tambien pagina oficial en Sony Music Latin (sonymusiclatin.com/artists/ryan-castro/) pero devolvio error 403 al intentar verificarla. El correo shopsupport@ryancastrro.com hallado en el sitio oficial es SOLO soporte de la tienda de merch, no de negocio -- se excluye a proposito.",6M (Instagram @ryancastrro),No evaluado
Nanpa Básico,Nanpa Basico SAS (management directo),management@nanpabasico.com,Management/Booking,https://nanpabasico.com/team/,Alta,"Verificado directamente en el HTML fuente de la pagina oficial nanpabasico.com (footer, aparece en todo el sitio bajo 'Correo Electronico'). Es el canal de contacto general publicado por el propio artista/su empresa.",2M (Instagram @nanpabasicooficial),No evaluado
Herencia de Patrones,,,,,,"NO SE ENCONTRO NADA VERIFICABLE. IMPORTANTE: la unica 'Herencia de Patrones' identificable publicamente es un grupo de corridos tumbados / regional mexicano (integrantes: Jay Dee, Uziel Pantoja, Omar Ruiz, Raul Valencia), NO un duo colombiano de musica urbana. Es probable que haya una confusion de nombre/genero en el brief original -- se recomienda confirmar a que artista colombiano se referian antes de contactar a este grupo mexicano.",,
Big Soto,Rimas Entertainment (sello),Formulario 'Conectate' (no verificado directamente por mi),Booking/Management (sello),https://wagtail.rimasmusic.com/es/artistas/bigsoto/,Baja,"Multiples fuentes (Wikipedia, prensa) confirman que Big Soto (venezolano, no colombiano -- verificar si aplica al batch) esta firmado con Rimas Entertainment. Al intentar verificar directamente la pagina de artista de Rimas Music, el servidor devolvio un error interno (pagina de error de Django), por lo que NO pude confirmar el formulario de contacto con mis propios ojos. No se encontro correo publicado en ningun sitio oficial.",2M (Instagram @bigsotorius),No evaluado
Ecko,,,,,,"NO SE ENCONTRO NADA VERIFICABLE. Hay ambiguedad de identidad: existe una pagina de artista 'ECKO' en Universal Music Colombia (universalmusic.com.co/artista/ecko) pero no pude confirmar su biografia en el sitio; el nombre de usuario de Twitter enlazado (@_eckoyg) coincide con el de un rapero ARGENTINO (Ignacio Spallatti, tambien conocido como Ecko/@eckoyg), lo que sugiere que podria tratarse del mismo artista argentino y no de un artista urbano colombiano independiente. No se encontro ningun canal de contacto de negocio publicado por ninguna de las dos posibles identidades que pueda confirmarse como colombiano. Se recomienda confirmar el nombre completo o apellido artistico exacto antes de continuar la busqueda.",,
Lyanno,MN2S (agencia internacional de booking),Formulario de booking en https://mn2s.com/booking-agency/live-roster/lyanno/,Formulario web (agencia de booking),https://mn2s.com/booking-agency/live-roster/lyanno/,Media,"MN2S lo lista en su roster oficial de booking en vivo pero no publica un email directo, solo un formulario. Se encontraron menciones de 'Centeno Management' y un email fabricado tipo 'management@...' en sitios agregadores (bookingagentinfo.com) que al verificar en vivo mostraron datos ofuscados/falsos (ej. direcciones tipo 'ya@bry.com' para otro artista) -- NO se incluyen por no ser fuente oficial verificable.",~1M (IG @lyanno aprox.; no verificado con precisión),No verificado (fuera de alcance del tiempo asignado)
Álvaro Díaz,"NEON16 (management, cofundada por Tainy y Lex Borrero)",Formulario de contacto en https://neon16.com/contact/,Formulario web (management),https://neon16.com/artists/alvaro-diaz/,Media,"Su management por NEON16 está confirmado oficialmente (página de artista propia en neon16.com) pero el sitio solo ofrece un formulario de contacto general, sin email publicado. También aparece en el roster de booking en vivo de MN2S (https://mn2s.com/booking-agency/live-roster/alvaro-diaz/), igualmente solo con formulario, sin email directo.",No verificado (varias cuentas de IG con nombre similar, no se pudo confirmar cuál es 100% la oficial)
Bryant Myers,,,,,,"NO SE ENCONTRÓ contacto de negocio verificable en fuente oficial. Fuentes agregadoras (bookingagentinfo.com, thehandbook.com, sitios de listados de conciertos) repiten un supuesto manager 'Carlos Javier Casillas' con email Gmail personal, pero al verificar bookingagentinfo.com directamente el sitio mostró datos ofuscados/plantilla (ej. 'ya@bry.com', 'ngm@g.com') que no son reales -- se descarta por regla de no inventar/replicar datos de dudosa procedencia. No se localizó sitio oficial, management confirmado por prensa, ni contacto publicado en redes oficiales verificadas.",,
Yovngchimi,Wasserman Music / THE TEAM (agencia exclusiva de booking),Formulario de contacto (Music) en https://the.team/contact-us/,Formulario web (agencia de booking exclusiva),https://www.teamwass.com/music/yovngchimi/ (redirige a https://the.team/music/yovngchimi/),Media,"Wasserman Music se anuncia como 'Exclusive Booking Agency for YovngChimi' en su propia página oficial. No publican un email directo, solo un formulario de contacto de música. Se descartó un supuesto manager 'Angelo Lassen' y agentes previos por venir solo de agregadores no verificables.",~2M (IG @yovngchimi aprox.; existen varias cuentas similares, no verificado con certeza cuál es la oficial)
Santa Fe Klan,"Prajin Parlay Inc. / Prajin Music Group (management, George Prajin)",bookings@prajinparlay.com,Email,https://www.facebook.com/Santa-Fe-Klan-473-399415933575799/about/,Alta,"El nombre público de la página oficial de Facebook incluye el email de booking. El mismo email (bookings@prajinparlay.com) aparece publicado en perfiles oficiales de otros artistas del mismo sello/management (Double P Records, Jasiel Nuñez), y el acuerdo de management con Prajin Parlay Inc. está confirmado por prensa de industria (Billboard: https://www.billboard.com/business/management/santa-fe-klan-prajin-parlay-inc-management-deal-1235564297/ ; Variety: https://variety.com/2023/music/news/santa-fe-klan-prajin-parlay-inc-1235851381/).",~12M (IG @santa_fe_klan_473 aprox., no verificado con precisión al 100%)
Gera MX,"Rich Vagos Ent. (su propio sello, del cual es CEO)",info@richvagosent.com,Email,https://richvagosent.com/contacto/,Alta,"Email confirmado directamente en la página de contacto oficial de Rich Vagos Ent., el sello del propio Gera MX. El teléfono listado en esa misma página (+52-33-1234-5678) parece un número de plantilla/placeholder, no se incluye por no ser confiable.",No determinado con certeza (búsquedas no arrojaron una cuenta oficial única confirmada),No verificado
Gera MX,TSM / Eco Live (agencia de booking),morgan@tsm.eco,Email,https://www.facebook.com/GERAMX444/about,Media,"Email visto en snippet indexado del apartado 'About' de la página oficial de Facebook de Gera MX, pero no se pudo re-confirmar accediendo directamente a la página (Facebook bloqueó la carga completa). Corroborado parcialmente por Billboard, que confirma que TSM (co-fundadora de la agencia MATS) reserva shows para Gera MX: https://www.billboard.com/pro/mats-booking-agency-mexico-based-companies-partner/",,
Neton Vega,Remolino Entertainment (management/sello),WhatsApp +1 (646) 675-5767 / formulario en https://remolinoteam.com/contacto,WhatsApp / Formulario web,https://netonvega.com/ ; https://remolinoteam.com/contacto,Alta,El propio sitio web oficial de Neton Vega (netonvega.com) confirma que su management/sello es 'REMOLINO ENTRETAINMENT'. El sitio oficial de Remolino Entertainment publica un número de WhatsApp de contacto y un formulario. No se incluye un número de WhatsApp que circulaba en un post de Facebook de un tercero no oficial (cuenta 'ARSAGDN') por no ser fuente oficial verificable.,Cuenta oficial dispersa entre varios perfiles similares (@net0n__ ~2M; @netonvega__ ~286K) -- no verificado con certeza cuál es 100% la oficial,No verificado
Neo Pistéa,,,,,,"NO SE ENCONTRÓ contacto de negocio publicado oficialmente. Sitio oficial neopistea.com no muestra email ni sección de contacto/booking/prensa (solo landing con enlace a redes). Instagram oficial verificado @neopistea (1.3M seguidores) no muestra email de negocio en la bio. No aparece en el roster público de MN2S ni de otras agencias de booking reconocibles. Se descartó explícitamente el dato de bookingagentinfo.com/celebrity/neo-pistea/ porque el email que muestra gratis (""eac@g.com"") es un placeholder falso/genérico de ese agregador, no un contacto real verificable — no es fuente confiable. Fila dejada vacía a propósito en vez de reportar un dato inventado.",~1.3M (Instagram @neopistea, cuenta verificada)
Trueno,MN2S (agencia de booking internacional que lo representa públicamente),info@mn2s.com,"Booking (contacto general de agencia; también formulario ""Request A Show"" en la página del artista)",https://mn2s.com/booking-agency/live-roster/trueno/ ; https://mn2s.com/contact/,Media,"MN2S lista a Trueno en su roster de booking público con página propia del artista, lo que confirma la representación. El email info@mn2s.com es el contacto general publicado de la agencia (no un email dedicado y exclusivo a Trueno); la vía más directa que ofrece la propia agencia es el formulario de contacto en su web. No se encontró email personal de management ni de prensa dedicado.",~9M (Instagram @trueno),No evaluado a fondo (fuera del alcance rápido solicitado).
Pailita,Paquin Entertainment / Paquin Artists Agency (agente asignado: André Guérette — territorio Norteamérica/MENA/Asia/Australia),info@paquinentertainment.com,Booking (contacto general de agencia; agente nombrado en el roster del artista),https://www.paquinentertainment.com/artist/pailita ; https://www.paquinentertainment.com/contact,Media,"Paquin Entertainment lista a Pailita como artista de su roster con agente asignado por territorio, lo que confirma representación vigente. El email es el contacto general publicado de la agencia (no un email personal dedicado a Pailita). Se descartó un supuesto número de WhatsApp/management que apareció al inspeccionar la bio de Instagram @pailita.k7k porque no se pudo verificar de forma independiente en ninguna otra fuente — no se reporta para evitar un dato falso.",~2.8M (Instagram @pailita.k7k, cuenta verificada)
Ana Tijoux,Sitio oficial de la artista (equipo de booking propio),info@anatijouxoficial.com,Booking/management (email publicado directamente en el sitio oficial),https://anatijouxoficial.com/,Alta,"Email de booking publicado directamente en el sitio web oficial de la artista (anatijouxoficial.com), fuente primaria de mayor confianza posible. Adicionalmente está representada por MN2S para touring en varios territorios (https://mn2s.com/booking-agency/live-roster/ana-tijoux/), pero esa página no muestra un email dedicado, solo formulario — se prioriza el contacto directo del sitio oficial. Fit temático fuerte: habla públicamente de industria musical, feminismo y derechos de artista.",~791K (Instagram @anatijoux),No evaluado a fondo (fuera del alcance rápido solicitado).
Residente (Calle 13),MN2S (agencia de booking internacional que lo representa públicamente); alternativa: De La Font Agency,info@mn2s.com,"Booking (contacto general de agencia grande; ""tiro de lotería"" de baja probabilidad de respuesta dado su perfil de superestrella)",https://mn2s.com/booking-agency/live-roster/residente/ ; https://mn2s.com/contact/ ; https://delafontagency.com/music-acts/booking-residente/,Baja,"MN2S y De La Font Agency listan a Residente en sus rosters públicos de booking, confirmando representación por agencias grandes, pero ninguna de las dos páginas muestra un email dedicado a Residente ni a su management personal — solo formularios de contacto y el email/teléfono general de la agencia. Dada su magnitud (superestrella, ganador de Grammy/Latin Grammy), la probabilidad de respuesta a un outreach de afiliados es muy baja; se incluye igual el contacto de negocio público más cercano encontrado, tal como se pidió.",~8-9M+ (Instagram @residente; cifra de referencia de 2022 con ~6.35% engagement rate reportado en ese entonces — probablemente desactualizada y mayor hoy),No evaluado a fondo (fuera del alcance rápido solicitado); referencia histórica sugiere engagement por encima del promedio.
